Designator,Mid X,Mid Y,Rotation,Layer
C501,167.8,-103.615,90,top
C502,177.9,-101.4,90,top
C601,179.5,-90.985,270,top
C602,179.5,-89.015,90,top
C603,180.6,-89.015,90,top
D201,155.6,-86.1375,270,top
D202,139.7625,-84.6,0,top
D203,139.7625,-86.7,0,top
D301,145.3,-94.4,180,top
D501,190,-104.2625,90,top
D502,167.3,-98.4375,270,top
D601,179.3375,-85.6,0,top
Q301,151.75,-88.9,270,top
Q501,164.4,-100.3,90,top
Q502,165.4,-104.1,180,top
R201,170.2,-93.115,270,top
R202,155.6,-89.415,90,top
R203,142.585,-84.6,180,top
R205,142.585,-86.7,180,top
R206,170.5,-87.315,270,top
R207,169.4,-87.315,270,top
R301,145.185,-88.5,0,top
R302,146.7,-88.985,270,top
R303,146.7,-91.5125,270,top
R304,154.2,-89.415,270,top
R305,150.8,-93.915,270,top
R306,150.8,-91.815,270,top
R307,154.2,-94.885,90,top
R308,154.2,-96.885,90,top
R401,142.5,-100,270,top
R402,143.9,-98.7,270,top
R403,145.5,-100.3125,270,top
R404,145.5,-103.4875,270,top
R501,189.515,-101.9,0,top
R502,188.4,-104.715,90,top
R503,187.3,-104.715,90,top
R504,181.585,-103.1,180,top
R505,163,-104.085,90,top
R506,164.415,-97.9,180,top
R507,174.2,-106,180,top
R508,150,-104.6625,90,top
R509,167.8,-101.315,90,top
R601,181.9,-91.815,90,top
U501,172.85,-101.8,180,top
U601,174.9375,-91.975,90,top
